foid,flid,oid,height,width,ocr
347,67,88,110.34661865234,58.868957519531,
348,68,45,183.70709228516,366.93569946289,
349,68,83,79.836212158203,61.161804199219,
350,69,3,67.067565917969,113.53167724609,
351,69,3,75.490112304688,113.3978729248,
352,69,3,137.76884460449,117.14880371094,
353,69,3,78.74267578125,103.16523742676,
354,69,3,81.870513916016,98.575988769531,
355,69,3,169.07150268555,134.51368713379,
356,69,3,165.8821105957,116.87828063965,
357,69,18,32.843475341797,140.33160400391,
358,69,18,33.971466064453,141.43002319336,
359,69,18,34.750213623047,145.49758911133,
360,69,18,34.116287231445,145.17736816406,
361,69,18,65.2099609375,110.85848999023,
362,69,18,61.709747314453,113.82070922852,
363,69,18,37.228210449219,141.5602722168,
364,69,69,92.527221679688,131.70916748047,
365,69,69,88.241790771484,159.77098083496,
366,69,70,78.27766418457,109.58374023438,
367,69,70,85.088562011719,107.36270141602,
368,69,70,94.215515136719,110.03192138672,
369,69,70,78.664031982422,125.1923828125,
370,69,70,84.886474609375,116.71823120117,
371,69,70,82.082443237305,114.01641845703,
372,69,70,98.022705078125,138.04376220703,
373,70,3,110.49240112305,108.54238891602,
374,70,18,91.698852539062,144.83615112305,
375,70,18,74.296905517578,107.34255981445,
376,70,18,98.712615966797,140.52499389648,
377,70,43,110.2541809082,312.48062133789,
378,70,70,124.77749633789,138.36923217773,
379,71,73,90.474060058594,118.42810058594,
380,71,73,103.47760009766,119.19064331055,
381,71,73,113.96221923828,111.10784912109,
382,71,73,108.34120178223,121.767578125,
383,71,73,115.19709777832,112.53146362305,
384,71,73,117.96813964844,128.04840087891,
385,71,73,148.41040039062,220.47738647461,
386,72,73,95.047912597656,111.62768554688,
387,72,73,116.29681396484,115.67572021484,
388,72,73,80.04248046875,109.38583374023,
389,72,73,135.08068847656,124.11633300781,
390,72,73,121.29125976562,126.03616333008,
391,72,73,115.46047973633,120.98999023438,
392,72,73,84.560134887695,111.2907409668,
393,72,73,77.579193115234,91.19921875,
394,72,99,26.350769042969,23.26611328125,
395,72,99,22.848297119141,18.529602050781,
396,72,99,23.321014404297,18.483215332031,
397,73,13,107.37237548828,72.438781738281,
398,73,13,126.31398010254,57.395904541016,
399,73,13,106.89202880859,63.652160644531,
400,73,13,116.57339477539,85.388092041016,
401,73,13,114.9299621582,55.02197265625,
402,73,13,112.29461669922,53.379699707031,
403,73,68,126.80587768555,104.99722290039,
404,74,3,91.539367675781,106.30587768555,
405,74,3,84.107818603516,98.315856933594,
406,74,3,130.90393066406,131.21708679199,
407,74,18,91.681457519531,105.92736816406,
408,74,18,101.65640258789,110.04205322266,
409,74,18,79.349700927734,102.26629638672,
410,74,69,84.101684570312,126.25273132324,
411,74,69,92.646423339844,133.1148223877,
412,74,71,80.974273681641,478.28076171875,
413,75,82,207.25961303711,172.86566162109,
414,76,4,97.846893310547,56.054046630859,
415,76,4,81.97135925293,57.356719970703,
416,76,96,50.621337890625,36.647186279297,
417,76,96,63.994293212891,64.895812988281,
418,76,96,50.155395507812,35.722290039062,
419,77,19,68.021026611328,69.727783203125,
420,77,19,66.928894042969,75.968475341797,
421,77,88,115.46011352539,71.42985534668,
422,77,88,122.35177612305,78.88671875,
423,77,88,161.15029907227,67.462112426758,
424,77,96,72.066802978516,90.932113647461,
425,77,96,52.869445800781,72.512023925781,
426,78,3,101.72302246094,109.46966552734,
427,78,3,99.641082763672,121.45273590088,
428,78,3,91.993255615234,115.2797088623,
429,78,3,95.101867675781,119.57315063477,
430,78,4,86.620086669922,58.287902832031,
431,78,4,96.988983154297,60.652893066406,
432,78,4,178.51162719727,59.135604858398,
433,78,4,98.512359619141,62.682434082031,
434,78,18,110.38589477539,141.9372253418,
435,78,18,108.39793395996,137.03274536133,
436,78,18,93.276550292969,115.23114013672,
437,79,10,150.23022460938,252.13186645508,
438,79,10,118.54431152344,281.55267333984,
439,79,28,228.36737060547,194.11752319336,
440,79,28,125.16125488281,124.64761352539,
441,79,28,175.7580871582,183.50115966797,
442,79,28,199.5339050293,247.3733215332,
443,80,28,166.19256591797,145.55813598633,
444,80,28,178.19775390625,173.31164550781,
445,80,31,29.468566894531,137.00550842285,
446,80,31,32.73210144043,125.28648376465,
447,80,31,31.790008544922,126.22428894043,
448,80,31,31.505187988281,113.95700073242,
449,80,32,68.665130615234,82.303070068359,
450,80,32,73.792907714844,85.894897460938,
451,80,32,67.675506591797,87.061828613281,
452,81,31,52.297119140625,139.01712036133,
453,81,31,46.067733764648,142.95251464844,
454,81,31,43.701446533203,142.79956054688,
455,81,31,31.690093994141,121.73916625977,
456,81,32,144.84353637695,75.085601806641,
457,81,32,159.65226745605,76.974365234375,
458,81,32,144.11074829102,86.705932617188,
459,81,32,156.87112426758,70.605987548828,
460,81,32,144.43542480469,68.03173828125,
461,82,53,89.292785644531,68.405456542969,
462,83,55,35.512054443359,127.04528808594,
463,84,55,28.498046875,134.07879638672,
464,85,43,95.249847412109,171.62316894531,
465,86,6,71.864044189453,142.28723144531,
466,86,44,100.70101928711,149.53005981445,
467,87,6,74.706390380859,120.52676391602,
468,87,6,72.196807861328,121.23986816406,
469,88,6,64.895385742188,132.90872192383,
470,89,58,74.327850341797,132.46148681641,
471,89,58,85.90380859375,132.65969848633,
472,90,58,151.13305664062,180.85110473633,
473,91,67,137.1237487793,59.001998901367,
474,92,43,60.846649169922,145.98519897461,
475,93,43,86.711975097656,168.06790161133,
476,94,43,166.29486083984,274.32647705078,
477,94,43,184.61231994629,300.11950683594,
478,95,46,162.0451965332,236.81770324707,
479,95,46,111.57345581055,151.00218200684,
480,95,52,77.876739501953,109.97657775879,
481,96,46,101.9186706543,137.80575561523,
482,96,46,108.36154174805,162.41505432129,
483,97,46,85.411865234375,173.57234191895,
484,97,52,83.541229248047,123.77174377441,
485,97,52,120.36004638672,95.653503417969,
486,98,52,84.935760498047,113.1254119873,
487,98,52,83.915710449219,103.18325805664,
488,98,52,84.845031738281,106.51428222656,
489,98,52,79.628601074219,100.62446594238,
490,99,46,106.46853637695,161.62658691406,
491,100,52,88.302154541016,107.42906188965,
492,100,52,79.754791259766,111.97497558594,
493,100,52,71.357147216797,117.77465820312,
494,100,52,71.989990234375,107.96295166016,
495,100,52,77.732360839844,114.21170043945,
496,101,26,192.32669067383,169.50126647949,
497,102,68,140.86599731445,104.17535400391,
498,102,68,98.521118164062,128.88980102539,
499,102,68,92.770095825195,99.263244628906,
500,103,26,140.13418579102,110.54170227051,
501,103,26,178.08627319336,82.029937744141,
502,104,43,67.270416259766,121.49639892578,
503,105,94,28.685302734375,43.764068603516,
504,105,94,32.245635986328,52.874664306641,
505,106,75,83.887298583984,120.38067626953,
506,107,75,76.423156738281,126.19989013672,
507,108,75,94.814056396484,121.43154907227,
508,109,30,97.764007568359,109.45977783203,
509,110,30,95.081451416016,114.20373535156,
510,111,3,78.478637695312,94.156677246094,
511,111,18,39.491439819336,86.057891845703,
512,111,43,89.628356933594,142.1272277832,
513,111,69,40.109252929688,84.929138183594,
514,111,70,114.23587036133,83.628234863281,
515,112,3,70.458679199219,78.273132324219,
516,112,3,74.858459472656,85.721710205078,
517,112,18,33.308380126953,103.40234375,
518,112,43,102.99435424805,168.37405395508,
519,112,69,37.965881347656,87.118347167969,
520,112,69,38.046691894531,79.642944335938,
521,112,70,105.37115478516,80.079559326172,
522,113,3,69.692749023438,84.800964355469,
523,113,69,37.020553588867,86.686721801758,
524,113,70,52.068756103516,111.52340698242,
525,114,3,62.904418945312,79.758087158203,
526,114,3,71.549163818359,97.9755859375,
527,114,18,35.797302246094,85.148223876953,
528,114,18,31.995544433594,80.884262084961,
529,114,43,78.030700683594,139.60090637207,
530,114,69,37.585021972656,89.517547607422,
531,114,69,31.819183349609,74.91340637207,
532,114,70,65.410491943359,104.19555664062,
533,114,70,104.62307739258,80.783279418945,
534,115,3,72.269683837891,85.977447509766,
535,115,69,35.51025390625,86.50439453125,
536,115,70,59.995697021484,114.25604248047,
537,116,21,137.05209350586,270.29974365234,
538,117,3,63.901062011719,128.45976257324,
539,117,3,87.267395019531,82.928176879883,
540,117,43,94.531097412109,208.07252502441,
541,117,43,81.112365722656,192.52029418945,
542,117,69,34.945037841797,126.79170227051,
543,117,69,39.173217773438,132.11079406738,
544,117,69,32.832580566406,116.25375366211,
545,117,70,141.46112060547,95.889678955078,
546,118,3,85.132904052734,92.034164428711,
547,118,3,55.35725402832,116.64102172852,
548,118,18,25.960632324219,83.068084716797,
549,118,43,87.773742675781,200.15258789062,
550,118,69,36.142974853516,119.2961730957,
551,118,69,31.079864501953,110.48785400391,
552,118,70,112.54718017578,94.187896728516,
553,119,3,61.096435546875,116.29557800293,
554,119,3,90.885375976562,76.999801635742,
555,119,18,21.905731201172,87.566284179688,
556,119,43,77.397674560547,189.71353149414,
557,119,69,34.513610839844,122.37074279785,
558,119,70,127.58331298828,89.875671386719,
559,119,99,36.615478515625,35.061599731445,
