flid,uid,time,timestr,buid,x,y,deck,modelid
126,dzeina,1657704418,"Jul 13, 2022 12:26:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695517090664,11.913026981056,5,1
127,dzeina,1657704426,"Jul 13, 2022 12:27:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695564751917,11.913071237504,5,1
128,dzeina,1657704441,"Jul 13, 2022 12:27:21",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695592882777,11.913188584149,5,1
129,dzeina,1657704453,"Jul 13, 2022 12:27:33",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695617250893,11.913251951337,5,1
130,dzeina,1657704463,"Jul 13, 2022 12:27:43",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695621909502,11.913263686001,5,1
131,dzeina,1657704475,"Jul 13, 2022 12:27:55",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695620834438,11.913263015449,5,1
132,dzeina,1657704485,"Jul 13, 2022 12:28:05",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695624955515,11.913278773427,5,1
133,dzeina,1657704509,"Jul 13, 2022 12:28:29",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695724936268,11.913347840309,5,1
134,dzeina,1657704522,"Jul 13, 2022 12:28:42",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695711318834,11.913303919137,5,1
135,dzeina,1657704536,"Jul 13, 2022 12:28:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695737836991,11.913250945508,5,1
136,dzeina,1657704549,"Jul 13, 2022 12:29:09",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695709347889,11.913271062076,5,1
137,dzeina,1657704559,"Jul 13, 2022 12:29:19",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695664195306,11.913202665746,5,1
138,dzeina,1657704597,"Jul 13, 2022 12:29:57",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695650040317,11.913194954395,5,1
139,dzeina,1657704631,"Jul 13, 2022 12:30:31",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695573710792,11.913096383214,5,1
140,dzeina,1657704667,"Jul 13, 2022 12:31:07",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695513865464,11.912956237793,5,1
141,dzeina,1657704702,"Jul 13, 2022 12:31:42",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695498456173,11.912903599441,5,1
142,dzeina,1657704711,"Jul 13, 2022 12:31:51",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69545384086,11.912962608039,5,1
143,dzeina,1657704717,"Jul 13, 2022 12:31:57",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695444165243,11.912965290248,5,1
144,dzeina,1657704773,"Jul 13, 2022 12:32:53",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695494693437,11.912880130112,5,1
145,dzeina,1657704778,"Jul 13, 2022 12:32:58",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695529453928,11.912889517844,5,1
146,dzeina,1657704783,"Jul 13, 2022 12:33:03",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695543250608,11.912850290537,5,1
147,dzeina,1657704788,"Jul 13, 2022 12:33:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695503831508,11.912835538387,5,1
148,dzeina,1657707171,"Jul 13, 2022 13:12:51",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.69533289546,11.912669576705,5,1
149,dzeina,1657707176,"Jul 13, 2022 13:12:56",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695325728312,11.912674605846,5,1
150,dzeina,1657707182,"Jul 13, 2022 13:13:02",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695339345891,11.91265348345,5,1
151,dzeina,1657707188,"Jul 13, 2022 13:13:08",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695348663179,11.912656500936,5,1
152,dzeina,1657707195,"Jul 13, 2022 13:13:15",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695337912462,11.912656500936,5,1
153,pmpeis,1657723330,"Jul 13, 2022 17:42:10",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695710781304,11.913584209979,4,1
154,dzeina,1657796146,"Jul 14, 2022 13:55:46",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695333791353,11.91266220063,5,1
155,dzeina,1657796153,"Jul 14, 2022 13:55:53",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695330386958,11.9126682356,5,1
156,dzeina,1657796160,"Jul 14, 2022 13:56:00",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695344004536,11.912644430995,5,1
157,dzeina,1657796166,"Jul 14, 2022 13:56:06",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695347050572,11.912656500936,5,1
158,dzeina,1657796171,"Jul 14, 2022 13:56:11",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695340958499,11.912652142346,5,1
159,dzeina,1657796178,"Jul 14, 2022 13:56:18",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695330745316,11.912667565048,5,1
160,dzeina,1657796183,"Jul 14, 2022 13:56:23",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695345079607,11.912642754614,5,1
162,dzeina,1657805357,"Jul 14, 2022 16:29:17",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695000875863,11.911614127457,3,1
163,dzeina,1657805368,"Jul 14, 2022 16:29:28",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695005892911,11.911641284823,3,1
164,dzeina,1657805378,"Jul 14, 2022 16:29:38",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.695014314384,11.911630220711,3,1
165,dzeina,1657805402,"Jul 14, 2022 16:30:02",vessel_2a2cf77c-91e0-41e2-971b-e80f5570d616_1635154314048,57.694995500453,11.911650337279,3,1
